Крок Мадам	Огонь!!! Оч вкусный. Много начинки.
Пельмени с говядиной и свининой, 245 г	Очень вкусные пельмени. Но дороговато
Деревенский завтрак	топ
Хот-Дог Цезарь	Первый раз привезли как на картинке и очень вкусно, остальные два ужас был, коричневый соус, мягкие помидоры, как будто он уже лежал дня 3, на вкус тоже противно было
Борщ с мраморной говядиной	Идеальный борщ🥰Мяса много🤤
Суп Куриный, 300 г	Суп куриный доставили опять не тот что всегда был в разделе горячее(в разделе горячее он совсем другой-бульон там совсем без приправ,прям домашний, и лапша плоская и длинная и курица тоже другая) , а этот очень перченый, в нём очень много приправ, точнее одна приправа, что аж по цвету бульона видно и вонь на всю, есть невозможно-лапша там круглая и короткая, а курица как пластик!!!
Каша рисовая с бананом и персиком	Сама каша очень водянистая, безвкусна, спасли блюдо только фрукты.
Гранола с голубикой, клубникой и йогуртом	Вы вообще стыд потеряли?? Две дольки клубники, 6 ягод голубики и ковш йогурта...
Вок с овощами	Очень соленое блюдо, пересолили овощи. Лапша переварена, мягкая очень.
Борщ с мраморной говядиной	Заказывала борщ несколько раз, все было ок. Но, сегодня совершенно не вкусный
Вок с курицей	Не вкусно. Мало мяса, мало соуса, да и овощей мало. Одна лапша, в общем, это не ВОК.
Лагман с говядиной, 320 г	Лагман совсем не похож на лагман. Не жирный, без добавления томатоа. Лапшп перевареная.
Блинчики с вареной сгущенкой	Вкусные! Привезли тёплыми спасибо
Деревенский завтрак	Положили пюре, вместо картошки беби с розмарином , не положили бекон. Колбаски не дожаренные
Плов по-узбекски с говядиной	Просто сухой рис с кусками морковки и 3 микроскопическими кусочками жесткой говядины. Ни пряностей, ни лука-чеснока, ни вкуса. Больше брать не буду.
Хот-Дог Цезарь	Соуса практически нет, суховат.
Шницель куриный с картофельным пюре, 300 г	Шницель и огурцы вполне вкусные, но картофельное пюре ужасное, безвкусное
Смузи «Спортивный фреш», 300 мл	Великолепный смузи! Очень полезный! Состав-обалденный! Заряд на весь день!
ПАПА Бургер	Все превосходно) очень большой
Фрикадельки с рататуем со спагетти	Очень вкусно. Отличная идея. Фрикадельки вкусные и сытные. Просьба - было бы здорово добавлять чуть больше рататуя.
Картофельная вафля с лососем и яйцом	Задумка прекрасная. Но вафли нужно делать в 2 раза тоньше!!!!
Большая порция сырников творожных со сметаной и малиновым вареньем	Сырники неплохие. Не понравилось то, что оказались они какие-то жидковатые. Есть их вилкой оказалось невозможно, ложка подошла больше.
Салат куриный BBQ	Вкусно
Крок Мадам	Очень вкусно👍спасибо!
Вок с морепродуктами	Из морепродуктов только мясо мидий, дико соленое все, и из овощей морковь и что-то зеленое. Фото реальность вообще не соответствует. У меня есть фото, не нашла как приложить в отзыву.
Курица «Карри» с рисом	Запах от блюда омерзителен, голод и желание есть пропало моментально. Рискнул, решил попробовать сие блюдо, ничего кроме перца и констстенции переваренной каши не почувствовал, доедать не стал,выкинул.
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Греча сочная, соус и мясо качественно приготовлены. Суп нежный, не слишком жидкий. Вкусно!
Омлет с брокколи	Вкусный,волос пока не попадалось 😀
Суп Гороховый с копченостями, 330 гр.	Очень вкусный суп, но очень не хватает гренок в наборе.
Сырники творожные со сметаной	Сырники очень вкусные.Одно но... вместо сметаны положили сгущёнку, а это совсем не одно и тоже.
Котлета куриная с беби картофелем	Котлета вкусная, а картошка пересушена уж очень оказалась
Сосиски куриные со спагетти	Вкусные сосиски и спагетти, мне понравилось, 4 звезды потому что соуса не было
Бургер куриный «Цезарь»	Вкусно, сытно
Картофельная вафля с беконом и яйцом	Это ужааас. Вот что не послушала покупателей?? Вот все отзывы верные!!
Круассан с ветчиной и сыром, 160 г	Во первых, он выглядит не как на картинке. Это примятый под грилем круассан. На вкус вообще не очень. Не советую
Бургер куриный «Цезарь»	Я понимаю, что вкус зависит от повара, который готовил, но мне очень сильно не повезло… он был безвкусный , просто соли и специй -1 …
Котлеты рыбные с лечо по-венгерски	Очень вкусные котлеты, даже детям понравились. Гарнир не очень вкусный и, на мой взгляд, не подходит. Но из-за вкусных котлет все равно поставлю блюду 5
Картофельная вафля с беконом и яйцом	прекрасный завтрак, очень сытный, картофельная вафля супер вкусная, жаль, что отдельно не продается
Драники картофельные с цукини и соусом	Драники почему-то кислые.
Мама бургер с голубым сыром и вишневым вареньем	Вкусный бургер. Идеально подойдёт тем кто любит необычное сочетание, типа сыра с плесенью и сладкого варенье
Пицца «Школьная»	Начинки практически нету. Не уверен что это должно стоить свою цену. Лучше бы тогда уже сделали не школьную, а ""мамину"" пиццу, и насыпали бы нацинки от души. За такое и переплатить было б не жалко.
Большая порция сырников с малиной	Привезли теплые сырники. Очень вкусно. Рекомендую
Бургер куриный «Цезарь»	Привезли холодным. На вкус редкостное Г
Не «мясная» пита в красном	Приятно удивлена! Очень вкусно! Много котлеты, овощей и соуса. Сочно и реально супер на вкус! Судя по отзывам другим, зависит от города. Мне повезло)
Штрудель с вишней и черной смородиной	Отвратительное что тл...кусок сырого теста с кислющщими ягодами...просто ужас какой то за бешенные деньги! Я в шоке!!!
Панкейки банановые с клубникой и сгущенным молоком	клубника есть, бананы есть, сгущёнка есть, её не много, но достаточно. Всё хорошо и вкусно
Драники картофельные с цукини и соусом	Драники норм, но далеко не самые вкусные…
Бургер с говядиной «Капрезе»	Разочарование( первый настолько невкусный бургер в моей жизни =,(Нижняя булка и овощи на ней все в масле, булка аж развалилась из-за того, что вся промаслилась.Съесть можно было только верхнюю половину
Шницель куриный с картофельным пюре, 300 г	Ужасное, безвкусное пюре, по ощущениям - порошковое!!! Уже который раз «горячая еда» в разы хуже, чем просто в магазине. Не уменьшишь ещё готовить - не беритесь и не выдавайте блюда по завышенной для такого качества цене!!!
Круассан с ветчиной и сыром, 160 г	Привезли холодный застывший круассан, невкусно
Омлет с беконом и ветчиной	Вкусный омлет.
Крок Месье	Раньше было много колбасы в сэндвиче. Куда же она сейчас подевалась?
Большая порция сырников с малиной	В целом неплохо, но масло на котором пожарены ужасно пахнет и портит весь вкус сырника. Привезли холодными, но в 17 вечера и не претендую, разогреть было не трудно.
Вареники с картофелем и грибами, 245 г	Нормальные вареники, но не хватило соли/специй.
Деревенский завтрак	Стоило вчера похвалить, как сегодня пришел ужас. Новая колбаска улиткой абсолютно не вкусная, картофеля было в два раза меньше, чем обычно.
ПАПА Бургер	Вкусно и сытно. Порция большая. Мяско, капустка, огурцы. Похоже на шаверму в булке.
Картофельная вафля с беконом и яйцом	Суховато
Котлета из щуки (2 шт.) с картофельным пюре	Мне понравилось и то и то.И котлета вкусная и пюре как домашнее.
Сырники творожные со сметаной	Вкусные сырники, всей семье было вкусно
Круассан с ветчиной и сыром, 160 г	Потрясающий!
Бургер куриный «Цезарь»	Очень сочный
Бургер с говядиной BBQ	Очень большой, это плюс, так как наедаешься с него и долго не чувствуешь голода, вкус просто волшебный
Английский завтрак	Фасоль имела неприятный запах, вафля мокрая, приехало все холодное :( колбаска только понравилась
Панкейки банановые с клубникой и сгущенным молоком	Вкусно, но чего-то не хватает… А вот кокосовая стружка наоборот лишняя. И панкейки, пока доезжают, чуть подсыхают, может, дело в этом
Куриная грудка с гречкой и томатным соусом 	Грудка сочная, кусок не маленький, всё вкусно. Гречка немного суховата, но соус в комплекте решает вопрос.
Котлета из щуки (2 шт.) с картофельным пюре	Твердая 4.
Блинчики с курицей и сметаной 	Сами блины очень вкусные, похожи на домашние, идеально, если бы в порции было 4 шт.
Сырники с вишней и сметаной	Очень вкусно! Привезли горячими еще
Деревенский завтрак	Вкусно и сытно, не ожидала. Съела на ланч, в итоге не потребовался ни обед, ни ужин))) Разве что бекон можно было бы поджарить до хруста, а в остальном замечаний нет. Привезли достаточно теплым, чтобы съесть без разогрева)
Хот-Дог Классический	На вкус понравился. Звездочку сняла за то, что привезли расплющенный, часть начинки размазана по упаковке
Гранола с голубикой, клубникой и йогуртом	Много ягод, гранола не каменная, в меру твердая, йогурт нежный.
Картофельная вафля с беконом и яйцом	Снова вкусно стали делать как в самом начале!
Не «мясная» пита в белом	Гениально конечно удивляться и писать «такое ощущение, что ешь питу с растительной котлетой» к блюду с растительной котлетой. Очень вкусно и сочно! А людям советую промыть глаза перед прочтением состава и выставлением низкой оценки ,если их не устраивает «не мясо» :)
Английский завтрак	Вкусно, сытно.
Борщ вегетарианский	отличный борщ без мяса
Суп-гуляш с говядиной, 300 г	Мяса практически нет!!!
Клаб-сэндвич	Сытный, и достаточно сочный, очень вкусно
Вареники с творогом, 265 г	Додумались в сладкие вареники добавить укроп, чем испортили весь вкус. Сами вареники вкусные.
Салат с бужениной	Салат вкусный,но буженину то резать на четыре части?Для видимости объема что ли?Не поленились посчитала помидорки,3 штучки порезанные на пополам,салатные листья оборваны у основания почти,где мясистая часть,с таким успехом можно простую капусту положить.
Салат куриный BBQ	Курица сухая, салат взболтали по дороге
Кукуруза гриль с «не мясной» котлетой Hi и соусом	Вкусная кукуруза и вкусная котлета, достаточно большая порция) состав соуса не для веганов)
Не «мясная» пита в красном	Заказали две штуки соуса не было в ней совсем. Хотя в составе написано томатная паста.
Вок с курицей	Делали заказ данного вок с курицей ,не соответствует описанию.Арахиса не было вообще,заказывали 2 шт - в одном было мясо в другом вообще не было.На вид вообще другой ,к сожалению не сделали фото того,что привезли.
Каша овсяная с бананом и голубикой	Очень испортилась, то, что на фото и то, что привозят отличается очень сильно. Во-первых холодная, во-вторых никаких семечек нет, банан заверенный. Ну и в третьих- попадаются какие-то жесткие хлопья в перловке. Больше не закажу, **
Омлет с ветчиной и томатами	Очень вкусный омлет! В меру соленый. Текстура тоже супер
Котлета из щуки (2 шт.) с картофельным пюре	Сухие котлеты
Плов по-узбекски с говядиной	Жесть, а не плов, попался кусок кристалла (думала соли) достаточно крупный, чуть зуб не сломала!!!
Сырники с вишней и сметаной	Давно хотела попробовать, в целом хорошие, но мне слишком сладкая начинка. В порции 4 сырника и соусник со сметаной. Мне было достаточно, наелась очень надолго, сытные
Круассан с лососем и сливочным сыром	наисвежайший, чуть больше бы начинки за такую стоимоть, вообще отлично было бы. В этот раз как будто меньше было
Бургер куриный «Цезарь»	Изумительно, вкусный, сочный, ароматный
Каша пшенная с тыквой и беконом	Очень вкусно и сытно !
Не «мясная» пита в красном	Очень вкусно!!!
Рис с курицей и овощами	Рис пересолённый и курица сухая
Суп Куриный, 300 г	Почему продавец не реагирует на отзывы покупателей - ВСЕ ЖЕ ПИШУТ - ЗАЧЕМ СТОЛЬКО СОЛИ!!!!!!!!!!!
Гранола «Ореховая» с персиком и малиной	Очень ,очень вкусно 😍Порция большая ,очень много йогурта ,и свежайшие ягоды 🍓
Круассан с ветчиной и сыром, 160 г	не стоит брать. Похоже что круасан разогревают с сыром в микроволновке, получается мягко говоря так себе.
Картофельная вафля с лососем и яйцом	Не вкусно, вафли подгоревшие с привкусом гари, и сухо очень
Крок Мадам	Как всегда - отличноОчень вкусно
Крок Месье	Вкусно, сытно, красиво
Картофельная вафля с лососем и яйцом	Лучше бы вафля была обычная, картофельная очень тяжелая и на вкус как подсохший картофель фри, встает в горле.
Курица «Карри» с рисом	Рис отличный, а курицу положили заветренную и очень сухую, вот прям, словно недельной давности она. Привезённое блюдо существенно отличается разительно от картинки.
Суп-пюре с грибами, 320 г	Хуже, чем икейский грибной суп за 59 рублей, и, разумеется, привезли без сухариков.
Фасоль с арахисом	Для любителей фасоли) Пришло всё теплым и хорошо упакованным.
Хот-Дог мясной	Лучший хот-дог, который я когда-либо пробовал. Шефу респект!
Не «мясная» пита в белом	Много начинки, есть соус, но не вытекает. Это плюс. В целом, на любителя.
Сырники с вишней и сметаной	Потрясающе вкусные сырники. Мягкие нежные, начинка вкусная. Сметана важнейшая не кислая.
Бургер с говядиной «Капрезе»	Очень *****кусный и необычный, ощущается менее жирно чем классические
Сосиски куриные со спагетти	👍🏽
Картофельные дольки по-техасски	Картона по деревенски. На доставку не берите. Приехало максимально сухим. Никакой редьки (или что это розовенькое)  как на картинке не было. Максимальное разочарование.
Большая порция сырников с малиной	На мой вкус слишком сладкие и жирные, а мужу очень понравились
Суп-гуляш с говядиной, 300 г	Мясо отсутствует это нормально?)
Злаковая каша с ягодами 	Порадовали фрукты. Как на фото.
Набор: Суп куриный + Паста «Карбонара»	Вкусно, сытно
Салат куриный BBQ	Очень вкусное блюдо! Нежнейшая курочка и аппетитный соус
Набор: Суп куриный + Паста «Карбонара»	Суп вкусный, но карбонара самая худшая что я пробовал!
Деревенский завтрак	очень нравится деревенский завтрак!!!
ПАПА Бургер	Вкусный. Делил на два приёма ) очень сытный
Салат Цезарь с куриной грудкой гриль	Очень вкусный салат, грудка нежная и сочная!
Набор: Суп куриный + Паста «Карбонара»	качество продуктов
Котлета из щуки (1 шт.) с картофельным пюре	Все хорошо
Большая порция сырников с малиной	Вкусные сырники. Чуть многовато масла. И консистенция понравилась, не переслащенные. Внутри малиновый джем. Но по сравнению с сырниками с вишней - с малиной вкусные( это так по моим личным ощущениям). Хотя заказала в одном заказе.
Блинчики с печенью и яйцом	Очень вкусные блины, за обе щеки схомячила
Мама бургер с голубым сыром и вишневым вареньем	Сухая булка и котлета, слишком сладкий вишневый соус
Суп-пюре из цветной капусты с сыром	Подтверждаю все предыдущие отзывы - суп довольно солёный, без сухариков тем более. Они в комплекте не идут! Благо дома были, с сухариками суп очень вкусный получается) а без них слишком соленый
Гречка с говядиной в сливочном соусе	Очень даже вкусно
Большая порция сырников с вишней	Наши любимые, большая порция, всегда свежие и очень вкусные
Чай «Апельсин - Облепиха», 300 мл	Очень вкусный и ароматный напиток! Доставили горячим, рекомендую :)
Фрикадельки с рататуем со спагетти	Очень странные фрикадельки, заявленная говядина не ощущается. Консистенция и вкус не оправдали ожидания
Большая порция сырников творожных со сметаной и малиновым вареньем	Воздушные!
Пельмени с говядиной и свининой, 245 г	Внутри пельменей не мясо, больше на сою похоже. Начинка какая-то жидкая что ли. По консистенции не упругая, а что-то типа пасты. Вкуса мяса тоже нет. Совершенно не понравились. Больше никогда не возьму
Котлета из щуки (2 шт.) с картофельным пюре	Там точно есть щука? Сухари, которые распадаются на сухари. Невкусно и не верится в состав.
Мама бургер с голубым сыром и вишневым вареньем	Воздушная булочка, не стандартный, интересный вкус начинки.
Набор: Суп грибной + Котлета «Домашняя» с картофельным пюре	Просто гадость ((сразу в помойку однозначно!!! Стыдно должно быть!!!
Суп-пюре с грибами, 320 г	Суп явно не стоит своей цены. Могли бы сухариков что-ли штучки три хотя бы положить...
Не «мясная» пита в белом	Супер!
Большая порция сырников с вишней	Сырники пришли без сметаны!
Сырники творожные со сметаной	Это какой-то ужас. Невероятное количество сахара, который затмевает весь вкус. Вкусвилл, обратите уже внимание на комментарии в отношении избытка сахара в ваших продуктах. Качество продукции неуклонно падает. «Ушла» от вас в Азбуку вкуса. В момент пребывания в другом городе опять сделала заказ у вас - ничего не меняется в лучшую сторону, а в регионах качество и сервис еще хуже.
Борщ с мраморной говядиной	Хорош!
Блинчики с печенью и яйцом	Невкусные блины! С неприятным привкусом! Как будто использована старая печень! Не рекомендую к покупке! Жаль, потраченных денег!
Вареники с творогом, 265 г	Шикарные вареники!👌🏻
Перепече с курицей и грибами	Начинка сухая. Тесто вкусное.
Блинчики «Рататуй»	люблю эти блины, наконец-то снова появились
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Жесткое мясо в гречке
Сырники с малиной и сметаной	Мягкие, нежные всего 4! По фото показалось должно быть 5, но нет 4. Сметана, конечно, мини-порция, хватило на 2. НО никакая не ""горячая еда"", абсолютно холодные. Хотя и в термопаке.
Мама бургер классический	Очень вкусный!
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Очень вкусный грибной суп. Сытный обед. Спасибо!
Блинчики с печенью и яйцом	Вкусные блинчики
Каша рисовая с бананом и персиком	Зачем так солить кашу? Это невозможно есть
Бургер с говядиной BBQ	Ругать точно нет причин. Очень сытный бургер, ингредиенты качественные, я б только бекон поджаренный клала (он какой-то варёный в этом бургере). Полностью стоит своих денег, буду покупать вновь. По мне - вкусно, можно было бы поставить половинку звезды, оценила бы на 4.5, почти 5.
Плов по-узбекски с говядиной	Желудок уничтожен
Сырники с малиной и сметаной	Это прям хорошо, это прям очень вкусно!Без сметаны слишком сладко, с ней все круто!
Салат куриный BBQ	Какую же гадость привезли в этот раз - абсолютно ледяной салат, реально перемороженый, листья аж прозрачные, помидоры настолько несвежие! Всё это «благолепие» выпустило воду и кисло в этой жиже, откуда-то взялся мерзкий вкус и запах свежего лука
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Очень вкусный ланч!)
Бургер с говядиной BBQ	Все вываливается, а так вкусно
Картофельная вафля с лососем и яйцом	Рыба- не только лосось. 30 процентов лосося, остальные 70- горбуша. Я впечатлена и разочарована
Драники картофельные с цукини и соусом	Невероятно вкусная и большая порция! Подогреваю и подсушиваю на сухой сковороде и получается 11/10
Борщ вегетарианский	Вкусный борщ! Приехал хоть и не горячий, но достаточно теплый в термопакете. Спасибо!
Большая порция сырников творожных со сметаной и малиновым вареньем	Вкусные, но для меня очень много сахара. Со сметаной ещё нормально, а вот с вареньем уже есть невозможно.
Пельмени с говядиной и свининой, 245 г	Если вдвоем, поэтому оцениваем на 10:) хоть привезли едва теплым, это не повлияет на оценку: разогрели на сковороде и насладились, классные пельмени во отношениях. Так держать
Суп грибной, 300 г	Мне очень понравилось сочетание ингредиентов, бульона. Вкус и аромат сохранен. Натурально, полезно, сытно
Шницель куриный с картофельным пюре, 300 г	Огурцов не было. Пюре сухое.
Картофельные дольки по-техасски	Привезли только пустую картошку без добавок и соус отдельно в баночке , очень грустно  - что блюдо настолько отличается от заявленного
Суп грибной, 300 г	Отвратительно! Я отравился, после супа начало шатать, появилась слабость и тошнота!
Картофельная вафля с лососем и яйцом	Огромные вафли, картошка не чувствуется, сыра творожного мало, рыба безвкусная и ее малоТолько яйцо нормальное
Клаб-сэндвич	Вкуснятина)
Штрудель с вишней и черной смородиной	Горелый весь
Куриная грудка запеченная с моцареллой, песто и томатами	Грудка очень сухая. Сыр видимо один маленький шарик был и весь почти растворился. Совсем не оправдало ожиданий блюдо
Блинчики с вареной сгущенкой	Привозят холодное
Крок Мадам	Привезли холодным, с виду много жира, не вкусно!
Круассан с ветчиной и сыром, 160 г	Это самый лучший круассан из несладких что пробовала здесь ! Все идеально сбалансированно , и круассан и много начинки , с чашечкой капучино на ура заходит. Пока что фаворит
Лагман с говядиной, 320 г	Лагман очень вкусный, привезли тёплым. Не ожидала что будет столько мяса 👍👍👍. Мясо нежное мягкое, бульон наваристый, очень понравился! Рекомендую!!!
Паста «Болоньезе», 290 г	Привезли холодным, сыр был коркой. Когда заявлено, что привезут горячим, очень ждёшь горячую еду, а не холодную
Кукуруза гриль с сырным соусом	Очень вкусная закуска или аперитив) есть правда нужно руками, что не везде удобно и уместно, но оно того стоит
Блинчики с вареной сгущенкой	Самые вкусные блинчики,которые я кушала😍
Шницель куриный с картофельным пюре, 300 г	Я не понимаю на какое чудо блюдо надеятся люди в отзывах. Пюре как пюре, шницель как шницель. Я заказываю потому что мне после работы не хочется готовить. Конечно же домашнее будет вкуснее, но вы либо готовьте дома, либо идите в ресторан😎👌Единственный минус что не всегда привозят с огурцами, либо забывают положить, либо курьеры голодные воруют ахаха
Равиоли с сыром пармезан и шпинатом, 245 г	Само по себе блюдо вкусное, начинки оптимально, к тому же не соленое, что позволяет употребить соль уже по вкусу. Понижаю немного только из-за того, что ну ОЧЕНЬ сытное, ощущается даже немного жирноватым
Борщ с мраморной говядиной	Красивый по цвету, но вкус подкачал: очень жидкий, нет картошки. Мясо вкусное, но кусочки крупные (хотя может на любителя крупные куски могут понравится).
Борщ вегетарианский	Отличный борщ
Бургер «Рваный Джо»	Слишком сладкий соус. Мясо как будто разваренное. Булка слишком пропитана соусом и расползается в руках
Большая порция сырников творожных со сметаной и малиновым вареньем	Очень жирные
Салат с бужениной	Картинка не соответствует действительности.Буженина нарезана мелкими кусочками.Заявленный свежий перчик-разлезлый.Не вкусно!Брала раньше-был вкусный салат.Цена не соответствует качеству!
Картофельные дольки с сырным соусом	Ужасно сухая картошка, часть сыровата, сверху накидали лука, а про соус забыли. Хотя и он бы не сделал ЭТО вкуснее
Крок Месье	Месье уступает Мадам, который значительно вкуснее.
Салат с лососем, свежими овощами и печеным перцем	Безумно вкусный салат!!! Очень много лосося, зеленушки хрустят, все свежее, просто объедение😍😍😍 заправка идеальная! Теперь мой любимый салат😋😍
Картофельная вафля с лососем и яйцом	Очень вкусно 🤤 СПАСИБО
Каша овсяная с бананом и голубикой	Очень люблю, заказываю регулярно
Бургер с говядиной «Капрезе»	Бургер хороший, сочная котлета, но нет особого вкуса, невыразительный он.. бургер барбекю вкуснее
Котлета из щуки (2 шт.) с картофельным пюре	Очень мягкие котлеты, но больше не понравилось пюре
Хот-Дог мясной	Очень сухой
Большая порция блинчиков с курицей и сметаной	Иногда много жил попадается в начинке...
Картофельная вафля с лососем и яйцом	Изумительный вкус 😍
Картофельная вафля с беконом и яйцом	Вкусно и очень сытно, половины достаточно на завтрак, а второй половины - на обед
Не «мясная» пита в красном	Это вау! Отзывы не пишу обычно, но тут прям не могу сдержаться. Очень вкусно, я бы сказала идеально. Однозначно ставлю любимым продуктом.
Щи с мраморной говядиной, 300 г	Прекрасные щи!И без чеснока, это важно, потому что аллергия на него
Сырники с малиной и сметаной	Приятные, нежные,
Сырники с вишней и сметаной	Приятное сочетания нежного творога с летним вишневым настроением. Вкусно. Для разнообразия рекомендую начать утро этим блюдом.
Вок с курицей	Не вкусно. Только картинка красивая. А в жизни даже выглядит не аппетитно. У ВкусВилл вообще с готовой едой какая-то беда. Как была когда-то с фруктами, пока главного по фруктам не уволили. И тогда сразу все наладилось. ВкусВилл, ну пожалуйста, увольте вашего главного по готовой еде. Там что-то не чисто! Либо этот человек просто не вывозит. Это просто не возможно… Т_Т
Гранола с голубикой, клубникой и йогуртом	Очень люблю это сочетание: полезный, свежий, вкусный завтрак.
Сырники творожные со сметаной	Вообще не вкусно, Какая-то непродаоенная творожная масса с комочками и очень сладкая, без вкуса творога
Курица «Карри» с рисом	В рисе был волос
Суп Куриный, 300 г	Дрянь
Паста «Фетучини» с курицей и соусом «Песто»	Курицы маловато, а так вполне вкусно
Пельмени с говядиной и свининой, 245 г	Вкусные ! Дети обожают !
Фасоль с арахисом	Прежде брала, было вкусно. Сейчас - гадость. Фасоль жёстковатая, местами, с черными пятнами (как такое можно класть в еду?!). В черной подливе с подгорелыми орехами. Просто - **.
Панкейки банановые с клубникой и сгущенным молоком	Мои любимые панкейки. Но в этот раз были довольно сухие и жесткие. В остальных случаях тесто пропитывается сгущенкой, фруктов достаточно много.
Салат с лососем, свежими овощами и печеным перцем	Вкусно, но для этой цены лосося катастрофически мало.
Большая порция сырников с малиной	Сырники вкусные, но не на каждый день. Очень сладкие и калорийные)
Гранола «Ореховая» с персиком и малиной	Действительно вкусная и большая порция, которой наедаешься! Фрукты сладкие, гранула такая как надо (не слишком жесткая, чтобы ей ломать зубы, но и не мягкая) и вкусный йогурт. Буду заказывать еще, одно из лучших открытий во вкусвилле
Суп Гороховый с копченостями, 330 гр.	Суп вкусный. Всю неделю заказывала на обед, так вдохновилась, что и дома приготовила.
